@relation zoo

@attribute hair {false,true}
@attribute feathers {false,true}
@attribute eggs {false,true}
@attribute milk {false,true}
@attribute airborne {false,true}
@attribute aquatic {false,true}
@attribute predator {false,true}
@attribute toothed {false,true}
@attribute backbone {false,true}
@attribute breathes {false,true}
@attribute venomous {false,true}
@attribute fins {false,true}
@attribute legs numeric
@attribute tail {false,true}
@attribute domestic {false,true}
@attribute catsize {false,true}

@data
true,false,true,false,true,false,false,false,false,true,true,false,6,false,false,false
false,false,true,false,false,false,true,false,false,false,false,false,0,false,false,false
false,false,true,false,false,true,true,false,false,false,false,false,4,false,false,false
false,false,true,false,false,true,true,false,false,false,false,false,6,false,false,false
false,false,true,false,false,true,true,false,false,false,false,false,6,false,false,false
false,false,true,false,false,true,true,false,false,false,false,false,8,false,false,true
false,false,false,false,false,false,true,false,false,true,true,false,8,true,false,false
false,false,true,false,false,true,true,false,false,false,true,false,0,false,false,false
false,false,true,false,false,false,false,false,false,true,false,false,0,false,false,false
false,false,true,false,false,true,true,false,false,false,false,false,5,false,false,false
false,false,true,false,false,false,false,false,false,true,false,false,0,false,false,false
